Name,Content Type,Removed in Version,Reason,Replacement Content,Replacement Content Link
ESCU - Previously Seen AWS Cross Account Activity - Initial,Baseline,5.4.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen AWS Cross Account Activity - Update,Baseline,5.4.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - AWS Cross Account Activity From Previously Unseen Account - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - AWS SAML Access by Provider User and Principal - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GitHub Actions Disable Security Workflow - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GitHub Dependabot Alert - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GitHub Pull Request from Unknown User - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Github Commit Changes In Master - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Github Commit In Develop - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Known Services Killed by Ransomware - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Remote Desktop Network Bruteforce - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Driver Loaded Path - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Event Log Service Behavior - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Process File Path - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect attach to role policy - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect permanent key creation - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect role creation - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect sts assume role abuse - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect sts get session token abuse - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
Nexus APT Threat Activity,Story,5.4.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,China-Nexus Threat Activity,https://research.splunk.com/stories/china_nexus_threat_activity
ESCU - Add Prohibited Processes to Enterprise Security,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Baseline of API Calls per User ARN,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Baseline of Excessive AWS Instances Launched by User - MLTK,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Baseline of Excessive AWS Instances Terminated by User - MLTK,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Monitor Successful Backups,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Monitor Unsuccessful Backups,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen AWS Provisioning Activity Sources,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen AWS Regions,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 AMIs,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 Instance Types,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 Launches By User,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 Modifications By User,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously seen API call per user roles in CloudTrail,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously seen users in CloudTrail,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Systems Ready for Spectre-Meltdown Windows Patch,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Update previously seen users in CloudTrail,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - ASL AWS CreateAccessKey - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - ASL AWS Create Access Key - Rule,https://research.splunk.com/cloud/81a9f2fe-1697-473c-af1d-086b0d8b63c8
ESCU - ASL AWS Excessive Security Scanning - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - ASL AWS Password Policy Changes - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - AWS Cloud Provisioning From Previously Unseen City - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Provisioning Activity From Previously Unseen City - Rule,https://research.splunk.com/cloud/e7ecc5e0-88df-48b9-91af-51104c68f02f
ESCU - AWS Cloud Provisioning From Previously Unseen Country - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Provisioning Activity From Previously Unseen Country - Rule,https://research.splunk.com/cloud/94994255-3acf-4213-9b3f-0494df03bb31
ESCU - AWS Cloud Provisioning From Previously Unseen IP Address - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Provisioning Activity From Previously Unseen IP Address - Rule,https://research.splunk.com/cloud/f86a8ec9-b042-45eb-92f4-e9ed1d781078
ESCU - AWS Cloud Provisioning From Previously Unseen Region - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Provisioning Activity From Previously Unseen Region - Rule,https://research.splunk.com/cloud/5aba1860-9617-4af9-b19d-aecac16fe4f2
ESCU - AWS EKS Kubernetes cluster sensitive object access - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Kubernetes Abuse of Secret by Unusual Location - Rule,https://research.splunk.com/cloud/40a064c1-4ec1-4381-9e35-61192ba8ef82
ESCU - Abnormally High AWS Instances Launched by User - MLTK - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Abnormally High AWS Instances Launched by User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Abnormally High Number Of Cloud Instances Launched - Rule,https://research.splunk.com/cloud/f2361e9f-3928-496c-a556-120cd4223a65
ESCU - Abnormally High AWS Instances Terminated by User - MLTK - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Abnormally High AWS Instances Terminated by User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Abnormally High Number Of Cloud Instances Destroyed - Rule,https://research.splunk.com/cloud/ef629fc9-1583-4590-b62a-f2247fbf7bbf
ESCU - Account Discovery With Net App - Rule,Detection,5.2.0,"This analytic was a TTP that focused on unrelated things and called account discovery. Since there were other detection that overlapped with it. I choose to deprecate it, and replace it with an updated version of 339805ce-ac30-11eb-b87d-acde48001122 / Windows Excessive Usage Of Net App.",ESCU - Windows Excessive Usage Of Net App - Rule,https://research.splunk.com/endpoint/355ba810-0a20-4215-8485-9ce3f87f2e38
ESCU - Attempt To Stop Security Service - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Attempt To Stop Security Service - Rule,https://research.splunk.com/endpoint/9ed27cea-4e27-4eff-b2c6-aac9e78a7517
ESCU - Attempted Credential Dump From Registry via Reg exe - Rule,Detection,5.2.0,"This analytic had some overlap with another one, hence the deprecation. It was replaced by 8bbb7d58-b360-11eb-ba21-acde48001122 / Windows Sensitive Registry Hive Dump Via CommandLine",ESCU - Windows Sensitive Registry Hive Dump Via CommandLine - Rule,https://research.splunk.com/endpoint/5aaff29d-0cce-405b-9ee8-5d06b49d045e
ESCU - Change Default File Association - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows New Default File Association Value Set - Rule,https://research.splunk.com/endpoint/7d1f031f-f1c9-43be-8b0b-c4e3e8a8928a
ESCU - Clients Connecting to Multiple DNS Servers - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Cloud Network Access Control List Deleted - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - AWS Network Access Control List Deleted - Rule,https://research.splunk.com/cloud/ada0f478-84a8-4641-a3f1-d82362d6fd75
ESCU - Cmdline Tool Not Executed In CMD Shell - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Cmdline Tool Execution From Non-Shell Process - Rule,https://research.splunk.com/endpoint/2afa393f-b88d-41b7-9793-623c93a2dfde
ESCU - Correlation by Repository and Risk - Rule,Detection,5.2.0,Detections updated to use the datamodel,ESCU - Risk Rule for Dev Sec Ops by Repository - Rule,https://research.splunk.com/cloud/161bc0ca-4651-4c13-9c27-27770660cf67
ESCU - Correlation by User and Risk - Rule,Detection,5.2.0,Detections updated to use the datamodel,ESCU - Risk Rule for Dev Sec Ops by Repository - Rule,https://research.splunk.com/cloud/161bc0ca-4651-4c13-9c27-27770660cf67
ESCU - Create local admin accounts using net exe - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Create Local Administrator Account Via Net - Rule,https://research.splunk.com/endpoint/2c568c34-bb57-4b43-9d75-19c605b98e70
ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - DNS record changed - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Deleting Of Net Users - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows User Deletion Via Net - Rule,https://research.splunk.com/endpoint/b0b6fd2c-8953-4d1b-8f7b-56075ea6ab3e
ESCU - Detect API activity from users without MFA - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - AWS Successful Single-Factor Authentication - Rule,https://research.splunk.com/cloud/a520b1fe-cc9e-4f56-b762-18354594c52f
ESCU - Detect AWS API Activities From Unapproved Accounts - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Activity Related to Pass the Hash Attacks - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Critical Alerts from Security Tools - Rule,Detection,5.2.0,"As discussed internally, this analytic was too generic for an analyst to do anything with it. It was deprecated in favor of the more specific approach provided by analytics such as Microsoft Defender ATP Alerts and Microsoft Defender Incident Alerts. Going forward analytics from leveraging alerts from vendors will have their specific analytics.",ESCU - Microsoft Defender ATP Alerts - Rule,https://research.splunk.com/endpoint/38f034ed-1598-46c8-95e8-14edf05fdf5d
ESCU - Detect Critical Alerts from Security Tools - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Microsoft Defender Incident Alerts - Rule,https://research.splunk.com/endpoint/13435b55-afd8-46d4-9045-7d5457f430a5
ESCU - Detect DNS requests to Phishing Sites leveraging EvilGinx2 - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Long DNS TXT Record Response - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Mimikatz Using Loaded Images - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Mimikatz Via PowerShell And EventCode 4703 - Rule,Detection,5.2.0,Updated to a new detection name,ESCU - Detect Mimikatz With PowerShell Script Block Logging - Rule,https://research.splunk.com/endpoint/8148c29c-c952-11eb-9255-acde48001122
ESCU - Detect Spike in AWS API Activity - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Spike in Network ACL Activity - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Abnormally High Number Of Cloud Infrastructure API Calls - Rule,https://research.splunk.com/cloud/0840ddf1-8c89-46ff-b730-c8d6722478c0
ESCU - Detect Spike in Security Group Activity - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Abnormally High Number Of Cloud Security Group API Calls - Rule,https://research.splunk.com/cloud/d4dfb7f3-7a37-498a-b5df-f19334e871af
ESCU - Detect USB device insertion - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Webshell Exploit Behavior - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Suspicious Child Process Spawned From WebServer - Rule,https://research.splunk.com/endpoint/2d4470ef-7158-4b47-b68b-1f7f16382156
ESCU - Detect new API calls from user roles - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud API Calls From Previously Unseen User Roles - Rule,https://research.splunk.com/cloud/2181ad1f-1e73-4d0c-9780-e8880482a08f
ESCU - Detect new user AWS Console Login - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Detect AWS Console Login by New User - Rule,https://research.splunk.com/cloud/bc91a8cd-35e7-4bb2-6140-e756cc46fd71
ESCU - Detect processes used for System Network Configuration Discovery - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Potential System Network Configuration Discovery Activity - Rule,https://research.splunk.com/endpoint/3f0b95e3-3195-46ac-bea3-84fb59e7fac5
ESCU - Detect web traffic to dynamic domain providers - Rule,Detection,5.2.0,Updated to use a different log source,ESCU - Detect hosts connecting to dynamic domain providers - Rule,https://research.splunk.com/network/a1e761ac-1344-4dbd-88b2-3f34c912d359
ESCU - Detection of DNS Tunnels - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Disabling Net User Account - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows User Disabled Via Net - Rule,https://research.splunk.com/endpoint/b0359e05-c87b-4354-83d8-aee0d890243f
ESCU - Domain Account Discovery With Net App - Rule,Detection,5.2.0,"This analytic was a TTP that looked only for commands that tries to query info about the users via net user /do. This had a couple of issues, such as triggering on creation of users via the /add flag etc..
It was deprecated in favor of a more tighter approach in 5d0d4830-0133-11ec-bae3-acde48001122",ESCU - Windows User Discovery Via Net - Rule,https://research.splunk.com/endpoint/7742987e-88c1-476b-a626-a869e088ab72
ESCU - Domain Group Discovery With Net - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Group Discovery Via Net - Rule,https://research.splunk.com/endpoint/c5c8e0f3-147a-43da-bf04-4cfaec27dc44
ESCU - Dump LSASS via procdump Rename - Rule,Detection,5.2.0,Updated to a new detection name,ESCU - Dump LSASS via procdump - Rule,https://research.splunk.com/endpoint/3742ebfe-64c2-11eb-ae93-0242ac130002
ESCU - EC2 Instance Modified With Previously Unseen User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud API Calls From Previously Unseen User Roles - Rule,https://research.splunk.com/cloud/2181ad1f-1e73-4d0c-9780-e8880482a08f
ESCU - EC2 Instance Started In Previously Unseen Region - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Compute Instance Created In Previously Unused Region - Rule,https://research.splunk.com/cloud/fa4089e2-50e3-40f7-8469-d2cc1564ca59
ESCU - EC2 Instance Started With Previously Unseen AMI - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Compute Instance Created With Previously Unseen Image - Rule,https://research.splunk.com/cloud/bc24922d-987c-4645-b288-f8c73ec194c4
ESCU - EC2 Instance Started With Previously Unseen Instance Type - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Compute Instance Created With Previously Unseen Instance Type - Rule,https://research.splunk.com/cloud/c6ddbf53-9715-49f3-bb4c-fb2e8a309cda
ESCU - EC2 Instance Started With Previously Unseen User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Cloud Compute Instance Created By Previously Unseen User - Rule,https://research.splunk.com/cloud/37a0ec8d-827e-4d6d-8025-cedf31f3a149
ESCU - Elevated Group Discovery With Net - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Sensitive Group Discovery With Net - Rule,https://research.splunk.com/endpoint/d9eb7cda-5622-4722-bc88-7f2442f4b5af
ESCU - Excel Spawning PowerShell - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Excel Spawning Windows Script Host - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Excessive Service Stop Attempt - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Excessive Service Stop Attempt - Rule,https://research.splunk.com/endpoint/8f3a614f-6b98-4f7d-82dd-d0df38452a8b
ESCU - Excessive Usage Of Net App - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Excessive Usage Of Net App - Rule,https://research.splunk.com/endpoint/355ba810-0a20-4215-8485-9ce3f87f2e38
ESCU - Execution of File With Spaces Before Extension - Rule,Detection,5.2.0,Updated to a new detection name,ESCU - Execution of File with Multiple Extensions - Rule,https://research.splunk.com/endpoint/b06a555e-dce0-417d-a2eb-28a5d8d66ef7
ESCU - Extended Period Without Successful Netbackup Backups - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Extraction of Registry Hives - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Sensitive Registry Hive Dump Via CommandLine - Rule,https://research.splunk.com/endpoint/5aaff29d-0cce-405b-9ee8-5d06b49d045e
ESCU - First time seen command line argument - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GCP Detect accounts with high risk roles by project - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
